experiment_name,run_mode,num_nodes,network_type,network_label,resource_consumption_mode,resource_consumption_fixed_mode,consumption_label,strategy_update_rule,r,final_actual_cooperation_mean,final_mean_resource_mean,final_mean_pool_grown_mean,final_mean_consumption_mean,final_mean_payoff_mean,final_gini_mean,return_mean,return_std
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r0p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.004,1.9772438503666538,1.1426841177016602,0.11406219251833272,0.11406219251833294,0.19599999999996037,120.04110168773468,220.25471031392127
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r0p75,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.56,320.40185824212165,179.70937013919948,18.148075465361117,18.148424400260428,0.6190716138530513,22464.642000666732,5283.651106722893
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r1p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.596,350.8512772858855,196.68100250626566,19.807363864402213,19.8073638622436,0.5913562559104162,24600.42181973866,4789.828949608526
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r1p75,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,1.75,0.604,355.44672226019594,199.24889724310776,20.0675361130098,20.0675361130098,0.6017090419854575,24261.16487133957,4895.833571864531
n50_ba_m2__proportional__piecewise_linear_constant__fermi__r2p25,proportional,50,scale_free,n50_ba_m2,piecewise_linear,constant,piecewise_linear_constant,fermi,2.25,0.596,355.5813677784205,199.2865522781312,20.04386838892102,20.043868388921023,0.5986039146999873,23712.038613906836,4553.383925533289
n50_er_k4__proportional__piecewise_linear_constant__fermi__r0p25,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,11.465120833990344,0.9986083468129304
n50_er_k4__proportional__piecewise_linear_constant__fermi__r0p75,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.64,410.9049927849928,229.94974603174606,22.97724963924964,22.977249639249642,0.5618018512912691,29461.490189661905,3300.779149856358
n50_er_k4__proportional__piecewise_linear_constant__fermi__r1p25,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.624,409.5636881376625,229.1452380952381,22.849605560269374,22.845182492544343,0.5659796597891877,31965.596438603836,4451.483993750472
n50_er_k4__proportional__piecewise_linear_constant__fermi__r1p75,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,1.75,0.632,415.20313797104916,232.11761904761906,23.181502102603353,22.78659802158554,0.5711658696858988,31404.749021865522,4264.314222182848
n50_er_k4__proportional__piecewise_linear_constant__fermi__r2p25,proportional,50,erdos_renyi,n50_er_k4,piecewise_linear,constant,piecewise_linear_constant,fermi,2.25,0.6519999999999999,439.9835983685301,246.02015873015876,24.479493293152395,24.42522579863483,0.5587137943483752,31684.0338742573,4794.107490051352
n50_regular_d4__proportional__piecewise_linear_constant__fermi__r0p25,proportional,50,regular,n50_regular_d4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,11.661887953696073,1.470690318046957
n50_regular_d4__proportional__piecewise_linear_constant__fermi__r0p75,proportional,50,regular,n50_regular_d4,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.624,408.8424875261671,228.7962457051773,22.813228269756884,22.81515040078628,0.5624733657174096,31474.060395014872,6290.741236678651
n50_regular_d4__proportional__piecewise_linear_constant__fermi__r1p25,proportional,50,regular,n50_regular_d4,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.7,505.8727277887201,282.64,27.953636420968895,27.95363579031103,0.5042094284196285,36698.012953860256,7615.13644434485
n50_regular_d4__proportional__piecewise_linear_constant__fermi__r1p75,proportional,50,regular,n50_regular_d4,piecewise_linear,constant,piecewise_linear_constant,fermi,1.75,0.7,499.1818445729053,278.96,27.61909384143392,27.61906158566084,0.4952435496923847,36090.73572841828,7209.579228125893
n50_regular_d4__proportional__piecewise_linear_constant__fermi__r2p25,proportional,50,regular,n50_regular_d4,piecewise_linear,constant,piecewise_linear_constant,fermi,2.25,0.6880000000000001,490.44654545454705,274.08000000000004,27.136727272727445,27.136727272725544,0.5210454013465412,35178.01132972722,7384.694467589312
n50_ws_k4_p0p1__proportional__piecewise_linear_constant__fermi__r0p25,proportional,50,small_world,n50_ws_k4_p0p1,piecewise_linear,constant,piecewise_linear_constant,fermi,0.25,0.0,0.0,0.0,0.0,0.0,0.0,11.953337698347998,1.5152344815575274
n50_ws_k4_p0p1__proportional__piecewise_linear_constant__fermi__r0p75,proportional,50,small_world,n50_ws_k4_p0p1,piecewise_linear,constant,piecewise_linear_constant,fermi,0.75,0.536,315.83837534805855,177.12193909169577,17.82871679647399,17.828756215052614,0.634319090229528,28015.576932715503,8146.58648299813
n50_ws_k4_p0p1__proportional__piecewise_linear_constant__fermi__r1p25,proportional,50,small_world,n50_ws_k4_p0p1,piecewise_linear,constant,piecewise_linear_constant,fermi,1.25,0.588,377.9239513771855,211.58857142857147,21.130597772068228,21.13059370788913,0.6024502575587232,31055.743939823376,6819.540310350091
